ORIGIN,DEST,delayed,FL_COUNT,rate
ORD,MIA,9775,39522,24.733060067810335
ORD,MSP,16438,69780,23.55689309257667
ORD,MSY,3706,15333,24.170090654144655
ORD,OAK,242,1046,23.135755258126196
ORD,PDX,5161,22761,22.67475067000571
ORD,PHL,14656,57163,25.638962265801307
ORD,PHX,9772,48690,20.06982953378517
ORD,RDU,5739,24400,23.52049180327869
ORD,SAN,7007,30421,23.0334308536866
ORD,SEA,10143,47184,21.496693794506612
ORD,SFO,20920,71626,29.207271102672216
ORD,SJC,2153,8134,26.46914187361692
ORD,SLC,7895,31034,25.439840175291618
ORD,STL,6809,29278,23.25636997062641
ORD,TPA,5461,23515,23.22347437805656
PDX,ATL,1340,12238,10.949501552541264
PDX,AUS,173,1698,10.188457008244994
PDX,BOS,828,5210,15.892514395393473
PDX,BWI,162,531,30.508474576271187
PDX,CLT,462,2578,17.92086889061288
PDX,DAL,322,1927,16.709911779968863
PDX,DCA,288,2317,12.429866206301252
PDX,DEN,5588,40410,13.828260331601088
PDX,DFW,2683,18142,14.788887663984127
PDX,DTW,352,2832,12.429378531073446
PDX,EWR,1012,6342,15.957111321349732
PDX,HOU,111,676,16.420118343195266
PDX,IAD,349,3432,10.168997668997669
PDX,IAH,1253,10222,12.257875171199375
PDX,JFK,1452,8557,16.968563748977445
PDX,LAS,3435,26941,12.750083515830891
PDX,LAX,5085,36939,13.765938439048162
PDX,MCI,380,4218,9.00900900900901
PDX,MCO,64,656,9.75609756097561
PDX,MDW,797,6780,11.755162241887906
PDX,MSP,1229,14892,8.252753156056944
PDX,OAK,3206,19983,16.0436370915278
PDX,ORD,3320,22715,14.615892581994277
PDX,PHL,328,1561,21.012171684817424
PDX,PHX,4052,35137,11.532003301363234
PDX,SAN,1572,14788,10.630240735731675
PDX,SEA,4136,28880,14.321329639889196
PDX,SFO,10349,43399,23.84617157077352
PDX,SJC,3093,23578,13.118160997540079
PDX,SLC,2756,27365,10.07125890736342
PDX,STL,117,1799,6.5036131183991115
PHL,ATL,14695,67571,21.747495227242457
PHL,AUS,804,3589,22.401783226525495
PHL,BNA,1783,9060,19.679911699779247
PHL,BOS,13610,58908,23.10382291030081
PHL,BWI,970,4272,22.705992509363295
PHL,CLT,7052,33699,20.92643698626072
PHL,CVG,1582,6372,24.82736974262398
PHL,DAL,292,1249,23.378702962369896
PHL,DCA,1086,5111,21.248288006261006
PHL,DEN,6140,27097,22.659334981732297
PHL,DFW,8237,38126,21.604679221528617
PHL,DTW,4539,23987,18.922749822820695
PHL,EWR,84,230,36.52173913043478
PHL,FLL,6310,26133,24.145716144338575
PHL,HOU,414,2194,18.86964448495898
PHL,IAD,245,1100,22.272727272727273
PHL,IAH,4484,20382,21.999803748405455
PHL,JFK,971,2848,34.09410112359551
PHL,LAS,4821,21611,22.30808384618944
PHL,LAX,5837,24552,23.77403062886934
PHL,LGA,1336,5239,25.50104981866769
PHL,MCI,350,1647,21.25075895567699
PHL,MCO,11952,53131,22.495341702584177
PHL,MDW,4649,21197,21.932348917299617
PHL,MIA,5741,24131,23.790974265467657
PHL,MSP,4141,22491,18.411809168111688
PHL,MSY,1495,7025,21.281138790035588
PHL,ORD,13369,57692,23.173056922970257
PHL,PDX,456,1559,29.249518922386148
PHL,PHX,5634,26806,21.01768260837126
PHL,RDU,4367,21816,20.017418408507517
PHL,SAN,2124,8363,25.39758459882817
PHL,SEA,2616,10251,25.519461515949665
PHL,SFO,6951,25284,27.491694352159467
PHL,SLC,1152,5613,20.523784072688404
PHL,STL,1831,8971,20.410210678854085
PHL,TPA,5846,26840,21.780923994038748
PHX,ATL,5136,38706,13.269260579755077
PHX,AUS,4312,24234,17.793183131138072
PHX,BNA,1683,8647,19.463397710188506
PHX,BOS,3256,15583,20.89456458961689
PHX,BWI,3250,18038,18.01751857190376
PHX,CLT,4408,29035,15.181677286034098
PHX,CVG,308,2220,13.873873873873874
PHX,DAL,1612,7842,20.555980617189494
PHX,DCA,2248,10765,20.88248954946586
PHX,DEN,13557,80572,16.82594449684754
PHX,DFW,7985,48011,16.631605257128577
PHX,DTW,4065,29513,13.773591298749704
PHX,EWR,6437,25583,25.161239885861704
PHX,FLL,1191,6711,17.746982565936523
PHX,HOU,3233,14859,21.757857190928057
PHX,IAD,368,3973,9.262522023659702
PHX,IAH,4326,32789,13.193449022538045
PHX,JFK,4924,22906,21.496551121976776
PHX,LAS,11106,69475,15.985606333213386
PHX,LAX,17138,83327,20.567163104395934
PHX,LGA,3,35,8.571428571428571
PHX,MCI,3303,21278,15.523075477018516
PHX,MCO,2165,12845,16.854807318022576
PHX,MDW,4559,24711,18.449273602848933
PHX,MIA,986,6233,15.819027755494947
PHX,MSP,6047,41177,14.685382616509216
PHX,MSY,745,3996,18.643643643643642
PHX,OAK,5784,33561,17.234289800661482
PHX,ORD,9032,48741,18.530600521121848
PHX,PDX,5629,35214,15.985119554722555
PHX,PHL,5332,26861,19.85034064256729
PHX,RDU,726,3621,20.049710024855013
PHX,SAN,10751,59729,17.999631669708183
PHX,SEA,8178,52537,15.566172411824047
PHX,SFO,13994,50119,27.921546718809232
PHX,SJC,5511,36009,15.304507206531701
PHX,SLC,8541,58939,14.49125366904766
PHX,STL,3479,21774,15.977771654266556
PHX,TPA,1792,11247,15.93313772561572
RDU,ATL,8286,52840,15.68130204390613
RDU,AUS,135,545,24.770642201834864
RDU,BNA,2122,12990,16.335642802155505
RDU,BOS,5289,24027,22.012735672368585
RDU,BWI,4378,23407,18.70380655359508
RDU,CLT,4478,28452,15.7387881344018
RDU,CVG,524,3125,16.768
RDU,DAL,305,1289,23.661753297129557
RDU,DCA,3272,14771,22.15151309999323
RDU,DEN,1309,8357,15.66351561565155
RDU,DFW,3132,18070,17.332595462091867
RDU,DTW,1364,10641,12.81834414058829
RDU,EWR,4047,12625,32.05544554455446
RDU,FLL,1420,7910,17.9519595448799
RDU,HOU,556,3153,17.633999365683476
RDU,IAD,1729,11213,15.41960224739142
